"","TITULO","VISITAS","GENERO"
"1883","HIGH SCHOOL INARI TAMAMO-CHAN!",4276,"s-Romance-Vida Escolar-Recuentos De La Vida-"
"1884","Junjou Escape",4271,"s-Shonen-Ai Yaoi Soft-"
"1885","Holy Knight",4270,"s-AccióN-Comedia-Ecchi-Romance-Escolar-Shounen-Sobrenatural-"
"1886","Ranma 1 2 Hentai La Reina de la Noche (Full Color)",4266,"s-AccióN-Artes Marciales-Aventura-Drama-FantasíA-Romance-Shonen-"
"1887","14-sai no Koi",4264,"s-Romance-Comedia-"
"1888","Tsuiteru Kanojo (NIKU)",4264,"s-AccióN-Aventura-Harem-Romance-FantasíA-Drama-PsicolóGico-"
"1889","Criando a un Demonio",4264,"s-BL Boys Love-Romance-Comedia-Drama-Recuentos De La Vida-"
"1890","Danberu nan kiro moteru?",4263,"s-Boys Love-Comedia-Drama-Romance-Vida Escolar-Webcomic-"
"1891","Maou Sounanchu!!!",4263,"s-AccióN-Ciencia FiccióN-Comedia-Ecchi-FantasíA-Misterio-Shonen-Sobrenatural-"
"1892","Ore to Omae no Stalker Boushihou",4261,"s-Comedia-Ecchi-FantasíA-Harem-Recuentos De La Vida-Seinen-Sobrenatural-"
"1893","Gyaru Yuri",4259,"s-Yaoi-Drama-Comedia-Recuentos De La Vida-Romance-"
"1894","Adamasu no Majotachi",4257,"s-Yaoi-Romance-"
"1895","Musunde, Hodoite, Kiss",4256,"s-Ecchi-Romance-Vida Escolar-Comedia-Recuentos De La Vida-"
"1896","Honey X Honey drops",4255,"s-Yaoi-Romance-Drama-AccióN-"
"1897","Abarenbou Kareshi",4240,"s-Shojo-"
"1898","Indecent Mother Sex Diary",4239,"s-AccióN-FantasíA-HistóRico-Seinen-Sobrenatural-"
"1899","Ikezu Kareshi no Otoshikata",2666,"s-Comedia-Drama-Recuentos De La Vida-"
"1900","Hero? I quit long time",2666,"s-Comedia-FantasíA-Seinen-"
"1901","Red String",2660,"s-Yaoi-Comedia-Vida Escolar-"
"1902","Yubisaki Milk Tea",2657,"s-AccióN-Artes Marciales-Aventura-FantasíA-"
"1903","Maou no Hajimekata",2656,"s-Josei-Romance-"
"1904","Vampire Charming",2655,"s-Romance-Shojo-Vida Escolar-"
"1905","Reencarnado en una planta",2651,"s-Yaoi-Romance-Tragedia-Drama-"
"1906","Shanhun jiao qi",2651,"s-Drama-Romance-Vida Escolar-"
"1907","Kurotsuta Yashiki no Himegoto",2644,"s-Romance-Recuentos De La Vida-"
"1908","Ranma 1/2",2644,"s-AccióN-Comedia-Ecchi-Harem-Romance-Escolar-Ciencia FiccióN-Seinen-Sobrenatural-"
"1909","Haikei Niisan-sama",2640,"s-AccióN-Comedia-Ecchi-Harem-Romance-ReencarnacióN-"
"1910","Hyakujuu no Ou ni Tsugu!",2638,"s-AccióN-Comedia-Drama-FantasíA-Josei-Misterio-Sobrenatural-"
"1911","Fairy Tail Zero",2637,"s-Comedia-Romance-Shojo-"
"1912","Coppelion",2636,"s-Comedia-Drama-Maduro-Romance-Yaoi-"
"1913","love selection",2633,"s-Comedia-Vida Escolar-Recuentos De La Vida-Sobrenatural-Demonios-Shounen Ai-"
"1914","Shin Sekai Yori",2630,"s-Comedia-Romance-Vida Escolar-"
"1915","Doujinshi Fairy Tail - Alcohol",2628,"s-AccióN-Comedia-Romance-Escolar-Shounen-Sobrenatural- "
"1916","Oushitsu Kyoushi Haine",2627,"s-Comedia-Drama-FantasíA-Romance-Shojo-Vida Escolar-"
"1917","Katakoi Opera",2625,"s-AccióN-Comedia-Drama-FantasíA-Josei- Vida Escolar-"
"1918","Lagrimas en los ojos del Animal",2624,"s-Comedia-Yaoi Soft-"
"1919","Dragnarok",2624,"s-Josei- Romance-Shojo-"
"1920","Teniendo la primera experiencia sexual y excitante con mi madre",2620,"s-Drama-Romance-Shojo-"
"1921","miunohri to swan",2619,"s-Comedia-Drama-PsicolóGico-Romance-Shonen-Ai-Suspense-Tragedia-Vida Escolar-Yaoi-"
"1922","Sandwich Girl",2618,"s-Romance-Yaoi Soft-"
"1923","ze",2618,"s-Comedia-Drama-Romance-Escolar-Sobrenatural-Yaoi-"
"1924","QQ Sweeper",2616,"s-AccióN-Aventura-Drama-FantasíA-Romance-Shojo-Tragedia-"
"1925","Itsuka Kimitachi mo Otona ni Naru",2349,"s-AccióN-FantasíA-Sobrenatural-"
"1926","Neon Genesis Evangelion",2348,"s-Romance-"
"1927","Mangaka-San to Assistant-San to",2348,"s-Drama-Maduro-Recuentos De La Vida-Romance-Vida Escolar-Yuri-"
"1928","El héroe del rey demonio",2346,"s-Yaoi Soft-Romance-Drama-"
"1929","Aoi Hitsuji no Yume",2346,"s-Romance-Vida Escolar-"
"1930","Magico",2345,"s-Comedia-Vida Escolar-Yaoi-Romance-"
"1931","Onideka",2344,"s-AccióN-Ciencia FiccióN-Demonios-Drama-Ecchi-Gore-"
"1932","Oushitsu Kyoushi Haine",2342,"s-AccióN-Aventura-Comedia-FantasíA-ReencarnacióN-Romance-"
"1933","Yorokobi wa Ude no Naka",2342,"s-Drama-Ecchi-Historia-"
"1934","Heroine Shikkaku",2338,"s-Comedia-Yaoi Soft-"
"1935","B Group no Shounen X",2338,"s-Romance-Yaoi-"
"1936","New Game",2336,"s-Aventura-Drama-Romance-Vida Escolar- Yaoi-"
"1937","RAPSODIA CELESTIAL",2336,"s-Comedia-Recuentos De La Vida-"
"1938","Kocchi Muite, AI",2334,"s-Comedia-Drama-Romance-Shojo-Vida Escolar-"
"1939","Skeleton Knight in Another World (Novela)",2334,"s-Drama-Sobrenatural-HistóRico-Romance-"
"1940","Nice guy syndrome",2333,"s-AccióN-Aventura-Shonen-Vida Escolar-"
"1941","My Joy",2333,"s-Comedia-Romance-Shojo-Vida Escolar-"
"1942","Yorokobi wa Hiza no Ue",2331,"s-Yuri Soft-Vampiros- Vida Escolar-Sobrenatural-"
"1943","Love DNA XX",2331,"s-AccióN-Comedia-Drama-Ecchi-Horror-Romance-Ciencia FiccióN-Shounen-"
"1944","First Girl",2327,"s-Comedia-Ecchi-Romance-Vida Escolar-"
"1945","Tendou ke monogatari",2327,"s-Sobrenatural-Yaoi Soft-Romance-Comedia-"
"1946","Catboy catday",2323,"s-BL Boys Love-"
"1947","Inari Konkon Koi Iroha",2322,"s-Comedia-Drama-FantasíA-Misterio-PsicolóGico-Romance-Shonen-Sobrenatural-"
"1948","Sengoku Danshi Hana no Ran",2322,"s-Comedia-Ecchi-Sobrenatural-Super Poderes-"
"1949","Hanagimi To Koisuru Watashi",2317,"s-Yaoi-"
"1950","5-nin no Ou",2315,"s-Romance-Vida Escolar-Sobrenatural-"
"1951","Yamete Kudasai, Koishii Desu",5950,"s-Boys Love-Drama-FantasíA-Romance-Webcomic- "
"1952","Red Blood Red Legacy",5942,"s-Comedia-Romance-Recuentos De La Vida-GL Girls Love-"
"1953","Sket Dance",5935,"s-Drama-FantasíA-Romance-"
"1954","Love Berrish",5925,"s-Romance-Recuentos De La Vida-Yaoi-"
"1955","Koishii Akuma",5925,"s-Comedia-Drama-HistóRico-Romance-Shojo-Vida Cotidiana-"
"1956","Teppu",5912,"s-Yaoi Soft-"
"1957","MOM CAFE",5910,"s-AccióN-Drama-PsicolóGico-Artes Marciales-Tragedia-"
"1958","Princess Lucia",5900,"s-BL Boys Love-Drama-Romance-"
"1959","hooky",5895,"s-Yaoi Soft-Tragedia-Drama-"
"1960","Togari",5877,"s-Comedia-Drama-Romance-Shoujo-Ai-Vida Escolar-Yuri-"
"1961","Hana Haru",5876,"s-Comedia-Drama-Romance-Webcomic-"
"1962","Sekai ka Kanojo ka Erabenai",5873,"s-AccióN-Aventura-Comedia-FantasíA-Shounen-Sobrenatural-"
"1963","Eroman - Kami to Pen to Sex to!!",5865,"s-Aventura-Ciencia FiccióN-Comedia-FantasíA-Magia-Realidad Virtual-"
"1964","Lunar Legend Tsukihime",5851,"s-Maduro-Adult-"
"1965","INITIAL D",5849,"s-BL Boys Love-Drama-PsicolóGico-Misterio-Policial-Suspense-"
"1966","Kengan Ashura",5849,"s-AccióN-Comedia-FantasíA-Artes Marciales-Misterio-"
"1967","Nan Shen Meng Bao Yi Guo Duan",5836,"s-FantasíA-Sobrenatural-Yaoi Soft-"
"1968","The God strongest (Novela)",5829,"s-FantasíA-Romance-AccióN-"
"1969","Asanaga Fuugetsu, Shodouka Desu",5826,"s-Shojo-Ai Yuri Soft-Militar-Vida Escolar-Romance-Comedia-"
"1970","Erotic Fairy Tales: Red Riding Hood",5826,"s-Romance-Sobrenatural-Comedia-"
"1971","Aventuras de Dios",5818,"s-Comedia-Drama-Romance-"
"1972","Supernatural Investigation Department",5817,"s-Comedia-Drama-Romance-Shojo-Vida Escolar-"
"1973","Arakawa Under the Bridge",5816,"s-Drama-Yaoi Soft-"
"1974","World Embryo",5813,"s-Boys Love-Romance-Vida Escolar-Comedia-Webcomic-"
"1975","This witch of mine",5812,"s-AccióN-Aventura-FantasíA-"
"1976","Suicide Island",5806,"s-Drama-Romance-Yaoi Soft-Recuentos De La Vida-"
"1977","El incesto es lo mejor",5803,"s-Comedia -FantasíA-Harem-Recuentos De La Vida-Romance-Seinen-Vida Escolar-"
"1978","Sensei ni Ageru·",5801,"s-Comedia-Drama-FantasíA-Gender Bender-HistóRico-Misterio-Shojo-"
"1979","Slave harem in the labyrinth of the other world (Novela)",5792,"s-Drama-Josei-Romance-Sobrenatural-"
"1980","Lucky-La-Kiss",5783,"s-AccióN-Aventura-Comedia-Shounen-"
"1981","Ochitekita Ryuuou to Horobiyuku Majo no Kuni",5780,"s-AccióN-Comedia-Artes Marciales-Romance-Escolar-Shounen-Deportes-"
"1982","Nos vemos de nuevo",5769,"s-AccióN-Aventura-Comedia-FantasíA-Harem-Magia-"
"1983","Mi hermana mi novia y yo",5766,"s-Comedia-Romance-Shojo-Vida Escolar-"
"1984","Hadaka no Ouji-sama: Love Kingdom",5763,"s-Drama-Comedia-Boys Love-"
"1985","XO Sisters",5762,"s-AccióN-Artes Marciales-HistóRico-Shonen-"
"1986","Mirai Nikki",5760,"s-Comedia-Sobrenatural-Aventura-Drama-"
"1987","Kataomi to Parade",5754,"s-FantasíA-Shonen-"
"1988","Mishounen Produce",5753,"s-Drama-Misterio-Romance-Sobrenatural-"
"1989","Izuku - Boku no hero academia",5751,"s-Comedia-Girls Love-Romance-Vida Escolar-Yonkoma-"
"1990","Yamato Nadeshiko Shichihenge",5748,"s-Drama-Harem-Horror-"
"1991","sora no otoshimono hentai 3",5747,"s-Boys Love-Familia-Romance-"
"1992","GTO",5741,"s-Drama-Ecchi-Romance-Vida Escolar-PsicolóGico-"
"1993","Himitsu no Himegimi Uwasa no Ouji",5736,"s-Comedia-Romance-Vida Escolar-Shojo-Ai Yuri Soft-"
"1994","Kiss Shite Yowamushi-kun!",5736,"s-Comedia-Romance-Sobrenatural-"
"1995","Ark:Romancer",5724,"s-FantasíA-Harem-PsicolóGico-Shojo-Smut-"
"1996","hana to hoshi",5717,"s-AccióN-Comedia-Artes Marciales-Romance-Escolar-Shounen-Deportes-"
"1997","Kore wa Koi ni Fukumaremasu Ka",5713,"s-Shonen-Ai Yaoi Soft-Comedia-Recuentos De La Vida-"
"1998","RPG",5709,"s-Comedia-Romance-Vida Escolar-Drama-"
"1999","Romantic Joutou",5705,"s-Yaoi Soft-Romance-"
"2000","Kenja no Deshi wo Nanoru Kenja",5700,"s-AccióN-FantasíA-Romance-Seinen-Sobrenatural-"
"2001","Sólo tuvimos sexo en el baño",5699,"s-HistóRico-Romance-Shojo-"
"2002","Aoki Umi No Toraware Hime",5696,"s-Yaoi-"
"2003","At Your Service, KITTY",5692,"s-AccióN-FantasíA-Shonen-"
"2004","Sengoku Danshi Hana no Ran",5690,"s-AccióN-Aventura-Comedia-Artes Marciales-Romance-Sobrenatural-FantasíA-"
"2005","5-nin no Ou",5681,"s-Drama-Romance-Horror-"
"2006","Love Berrish",5675,"s-Comedia-Maduro-Romance-Escolar-"
"2007","CRY FOR ME",5672,"s-Drama-Ecchi-"
"2008","heritage",5671,"s-Comedia-Yuri Soft-Romance-"
"2009","Yamete Kudasai, Koishii Desu",5669,"s-Drama-Romance-Slice Of Life-Escolar-"
"2010","Red Blood Red Legacy",5665,"s-Drama-Recuentos De La Vida-BL Boys Love-Romance-"
"2011","Hanagimi To Koisuru Watashi",5661,"s-AccióN-Aventura-Ciencia FiccióN-Romance-Seinen-"
"2012","Teppu",5644,"s-Drama-Josei-Recuentos De La Vida-Romance-"
"2013","Koishii Akuma",5644,"s-Drama-FantasíA-Romance-Yaoi-"
"2014","Suicide Island",5642,"s-Yaoi-Vida Escolar-Romance-Comedia-"
"2015","MOM CAFE",5642,"s-AccióN-Deportes-Ecchi-Romance-Seinen-"
"2016","Sekai ka Kanojo ka Erabenai",5634,"s-Aventura-Drama-HistóRico-Josei-Maduro-Romance-Shojo-Tragedia-"
"2017","Princess Lucia",5631,"s-Comedia-FantasíA-HistóRico-Romance-Shojo- Sobrenatural-"
"2018","hooky",5626,"s-AccióN-Comedia-Drama-Romance-Escolar-Shojo-"
"2019","Lunar Legend Tsukihime",5620,"s-Comedia-Romance-FantasíA-"
"2020","Eroman - Kami to Pen to Sex to!!",5612,"s-Comedia-Ecchi-Gender Bender-Romance-Shonen-Vida Escolar-Yaoi-"
"2021","INITIAL D",5612,"s-Drama-Josei-Recuentos De La Vida-Romance-Shojo-"
"2022","Erotic Fairy Tales: Red Riding Hood",5607,"s-AccióN-Aventura-Ciencia FiccióN-Comedia-Drama-FantasíA-Misterio-Recuentos De La Vida-Romance-Shonen-Ai-Sobrenatural-Suspense-Tragedia-Yaoi-"
"2023","The God strongest (Novela)",5606,"s-Comedia-Drama-Josei-Misterio-Recuentos De La Vida-Romance-"
"2024","Asanaga Fuugetsu, Shodouka Desu",5593,"s-Drama-Horror-Misterio-PsicolóGico-Shonen-Sobrenatural-"
"2025","World's End Harem Fantasia",5591,"s-Aventura-Drama-Misterio-FantasíA-Sobrenatural-"
"2026","Mahou Shoujo Site",5590,"s-Comedia-Shounen-Vida Cotidiana-"
"2027","World Embryo",5588,"s-Comedia-Drama-Recuentos De La Vida-Romance-Shojo-"
"2028","Arakawa Under the Bridge",5577,"s-Maduro-Romance-Vida Escolar-Yaoi-"
"2029","Te esperé en 1999",2333,"s-AccióN-Comedia-Gender Bender-Harem-Artes Marciales-Misterio-Romance-Escolar-Sobrenatural-"
"2030","Konya, Hokenshitsude Guchagucha ni",2333,"s-Comedia-Recuentos De La Vida-Seinen-"
"2031","My Brother's Slipped Inside Me in The Bathtub",2330,"s-Comedia-Drama-Recuentos De La Vida-Romance-Vida Escolar-Yaoi-"
"2032","Hatsumei Princess",2330,"s-AccióN-Drama-Comedia-Harem-Ecchi-Romance-Sobrenatural-"
"2033","Ranma 1 2 Hentai La Reina de la Noche (Full Color)",2326,"s-AccióN-Cyberpunk-Drama-Horror-Maduro-Misterio-"
"2034","51 Maneras de Salvar a mi Novia",2326,"s-AccióN-Ciencia FiccióN-"
"2035","Twins Mother",2326,"s-Comedia-Drama-Ecchi-Gender Bender-Vida Escolar-"
"2036","Cheonchu",2325,"s-Comedia-Ecchi-Drama-Romance-Suspense-Vida Escolar-"
"2037","Baqin Geshao Diao Jiao",2325,"s-AccióN-Aventura-Comedia-FantasíA-Harem-Romance-Shonen- "
"2038","The Death Mage that doesn’t want a fourth time",2323,"s-Yaoi-"
"2039","Hatarakanai Futari",2323,"s-AccióN-Comedia-FantasíA-Recuentos De La Vida-Seinen-"
"2040","Love Revolution",2322,"s-Comedia-Romance-Vida Escolar-"
"2041","Shuukan Shounen Hachi",2322,"s-AccióN-Aventura-Comedia-FantasíA-Romance-Shounen-Sobrenatural-"
"2042","Crimson Spell",2319,"s-AccióN-Aventura-FantasíA-"
"2043","By My Side",2317,"s-Comedia-Gender Bender-Romance-Shojo-"
"2044","Konna Watashi o Kawaii, Nante",2316,"s-AccióN-Artes Marciales-Drama-HistóRico-Shonen-"
"2045","Koi Desu ga Koi Janai",2315,"s-Comedia-Romance-Shojo-"
"2046","Ore no kirai na tsugaisama",2315,"s-AccióN-Aventura-Ciencia FiccióN-Comedia-FantasíA-Magia-"
"2047","Furete, Aishite, Dakishimete",2313,"s-AccióN-Drama-Ecchi-FantasíA-Seinen-"
"2048","Classmate Kamimura Yuuka wa Kou Itta",2309,"s-Comedia-Recuentos De La Vida-Seinen-"
"2049","Burakku Gakkou ni Tsutomete Shimatta Sensei",2308,"s-Drama-Romance-Shojo-Vida Escolar-"
"2050","Sonomono Nochi Ni (Novela)",2307,"s-Yaoi-Vida Escolar-Romance-"
"2051","Kengan Ashura",2305,"s-Drama-PsicolóGico-Recuentos De La Vida-Romance-Vida Escolar-"
"2052","Uramikoi, Koi, Uramikoi",2304,"s-AccióN-Comedia-Romance-Shojo-Vida Escolar-"
"2053","Koi Wo Shiranai Bokutachi Wa",2304,"s-AccióN-Ciencia FiccióN-Shounen-"
"2054","Kyochuu Rettou",2303,"s-Comedia-Sobrenatural-Adult-"
"2055","Ikoku Irokoi Romantan(yaoi)",2141,"s-Romance-Comedia-Drama-Adult-"
"2056","Toubou Kinshi!",2139,"s-Adult-"
"2057","Isekai Meikyuu de Dorei Harem wo",2138,"s-Comedy-Romance-Shoujo-Supernatural-"
"2058","Tokyo Ravens",2138,"s-Comedia-Romance-Shojo-Vida Escolar-"
"2059","Gabriel Dropout",2131,"s-AccióN-FantasíA-Shonen-"
"2060","Deceptions",2130,"s-Drama-Comedia-Recuentos De La Vida-"
"2061","Shuuen no Elysion",2129,"s-AccióN-Comedia-FantasíA-Escolar-Shounen-Sobrenatural-"
"2062","Fushigi no Kuni no Arisugawa-san",2127,"s-Comedia-Drama-Romance-Vida Escolar-Yaoi-"
"2063","Ushio to Tora",2127,"s-Drama-Recuentos De La Vida-Shonen-Ai-Sobrenatural-"
"2064","S-L-H- - Stray Love Hearts!",2126,"s-Yaoi Soft-Recuentos De La Vida-HistóRico-Drama-Romance-ReencarnacióN-"
"2065","Cuidar de mi ama de llaves",2124,"s-Boys Love-Comedia-Romance-Webcomic-"
"2066","Bokura ga Tsugai ni Naru Made",2123,"s-Romance-Escolar-Shojo-"
"2067","yo soy la madre y tu eres el padre",2123,"s-Comedia-Sobrenatural-Aventura-Drama-"
"2068","Little Butterfly",2119,"s-Drama-Romance-Yaoi-Adult-"
"2069","La Biblioteca de Lang Huan",2118,"s-Ecchi-Romance-"
"2070","Tsuki ni Hoero",2116,"s-AccióN-Comedia-Ecchi-Sobrenatural-"
"2071","Kimi to Kemono na Yume o Miru",2115,"s-Comedia-Gender Bender-Romance-Seinen-"
"2072","Girl Friends",2115,"s-Comedia-Recuentos De La Vida-Vida Escolar-"
"2073","Tatoe Hai Ni Natte Mo",2114,"s-Comedia-Romance-Recuentos De La Vida-Yuri-"
"2074","BASARA",2113,"s-Aventura-Drama-HistóRico-Romance-Shojo-"
"2075","Ibitsu no Amalgam",2112,"s-Romance-Drama-Comedia-"
"2076","Mis hermanas y yo",2109,"s-Yaoi-"
"2077","Dear My Teacher",2107,"s-Romance-"
"2078","Ai Wa Chitto Mo Rakuja Nai",2106,"s-Comedia-Gender Bender-Misterio-Romance-Escolar-Shounen-"
"2079","At Sixes and Sevens",2104,"s-Drama-PsicolóGico-Tragedia-Yaoi-"
"2080","Sister and Brother",2104,"s-AccióN-Aventura-Ciencia FiccióN-FantasíA-Shonen-Sobrenatural-"
"2081","Gamaran",3783,"s-Comedia-Drama-Romance-Shojo-"
"2082","GOOGOOKAKA",3781,"s-AccióN-Comedia-Drama-Ecchi-Seinen-Vida Escolar-"
"2083","Katsute Kami Datta Kemono-tachi e",3780,"s-Drama-Romance-"
"2084","Summertime Render",3776,"s-AccióN-FantasíA-Harem-Artes Marciales-Romance-Shounen-Sobrenatural-"
"2085","Lala",3774,"s-Recuentos De La Vida-Romance-Seinen-"
"2086","Minasama no Omocha desu",3773,"s-Vida Escolar-Drama-Romance-"
"2087","Oku made furete mo ii desu ka",3770,"s-AccióN-PsicolóGico-Tragedia-Sobrenatural-Drama-"
"2088","Tsumi to Kai",3767,"s-Yaoi Soft-Recuentos De La Vida-Romance-"
"2089","Citrus Anthology",3766,"s-AccióN-Aventura-FantasíA-Harem-Romance-Shojo-"
"2090","Wei ri cai men cai min",3765,"s-Comedia-Drama-Recuentos De La Vida-Romance-Shonen-Vida Escolar-"
"2091","Diabolik lovers Anthology",3762,"s-Maduro-Vida Escolar-Yaoi-"
"2092","Buyuden",3760,"s-Comedia-FantasíA-Harem-Romance-Shojo-Vida Escolar-"
"2093","Sofure Buka!",3757,"s-Yaoi-Romance-Suspense-Drama-"
"2094","Koisuru Lazy",3755,"s-Romance-"
"2095","Amante Masculino",3752,"s-AccióN-Aventura-Comedia-Drama-FantasíA-Shounen-Sobrenatural-Tragedia-"
"2096","Shirayukihime to 7-nin no Shuujin",3750,"s-Drama-Romance-Escolar-Shojo-Tragedia-"
"2097","Barairo no Yakusoku",3749,"s-Ecchi-Harem-FantasíA-Aventura-ReencarnacióN-"
"2098","Eigyou Nikka!",3748,"s-Ecchi-Magia-Harem-FantasíA-Comedia-Realidad Virtual-"
"2099","Seventh Garden",3745,"s-AccióN-Comedia-FantasíA-Seinen-"
"2100","The Heaven's List",3745,"s-AccióN-Militar-Romance-"
"2101","Nano List,",3740,"s-Comedia- Sobrenatural-Adult-"
"2102","Bousou Shojo",3734,"s-AccióN-Aventura-Ciencia FiccióN-Comedia-Drama-Misterio-Shonen-Sobrenatural-"
"2103","TASTE",3734,"s-Yaoi-Romance-Drama-Recuentos De La Vida-"
"2104","Yuri Natsu -Kagaya Inn-",3730,"s-Yaoi-Drama-Romance-Vida Escolar-Recuentos De La Vida-"
"2105","Ijiranaide, Nagatoro-san",3729,"s-Romance-Yaoi-Comedia-"
"2106","Mabataki no Aida",3725,"s-AccióN-FantasíA-Vida Escolar-Drama-"
"2107","Aishiteru tte Itte mo Ii yo",2218,"s-AccióN-Ecchi-FantasíA-"
"2108","Yumemiru Taiyou",2217,"s-Comedia-Recuentos De La Vida-Romance-Shojo-Vida Escolar-"
"2109","Totsugimasen Kara!",2217,"s-Romance-Shojo-Vida Escolar-"
"2110","Migawari Hakushaku no Bouken",2216,"s-Shonen-Ai Yaoi Soft-"
"2111","BACK STREET GIRLS",2213,"s-Romance-Yaoi-"
"2112","Everlasting God of Sword",2213,"s-Romance-Shojo-Vida Escolar-"
"2113","Shoudou",2209,"s-Gender Bender-ReencarnacióN-Romance-FantasíA-Magia-AccióN-"
"2114","Siscon Ani to Brocon Imouto ga Shoujiki ni Nattara",2209,"s-Comedia-Romance-Drama-"
"2115","Himitsu No Aizu",2204,"s-Vida Escolar-Romance-Ecchi-Comedia-"
"2116","Boyfriend of the dead",2204,"s-AccióN-Ciencia FiccióN-Comedia-FantasíA-Harem-Magia-Romance-Shonen-Sobrenatural-"
"2117","Toradora",2203,"s-BL Boys Love-Romance-"
"2118","Ii Mon Waru Mon",2200,"s-Shoujo-Ai-Vida Escolar-Yuri-"
"2119","Robot×Laserbeam",2200,"s-Horror-Misterio-Sobrenatural-"
"2120","Tondemo Skill de Isekai Hourou Meshi",2198,"s-Drama-Misterio-Romance-Vida Escolar-"
"2121","The Language of God",2197,"s-AccióN-Ecchi-Harem-Horror-"
"2122","Exhibicion de Ovulaciones",2196,"s-Romance-AccióN-Comedia-FantasíA-Vampiros-Webcomic-"
"2123","¡¿Mi Amante es una Gánster?!",2194,"s-Romance-Escolar-Shojo-"
"2124","LV999 no Murabito",2189,"s-Comedia-Ecchi-Romance-Vida Escolar-"
"2125","Incesto Familiar",2187,"s-Drama-Romance-Yaoi-Vida Escolar-"
"2126","Real no Heroine wa Irimasen!",2187,"s-Comedia-Harem-Magia-Misterio-Romance- Shojo-"
"2127","Magi",2186,"s-AccióN-Comedia-Ecchi-FantasíA-Harem-Romance-"
"2128","Tourou no Ori",2184,"s-Comedia-Drama-Recuentos De La Vida-Romance-Yaoi-"
"2129","Suki Naki Koi",2184,"s-AccióN-Aventura-Comedia-Drama-FantasíA-Harem-HistóRico-"
"2130","Suki Natsuki Koi",2182,"s-Yaoi-Drama-Romance-"
"2131","My girl",2181,"s-AccióN-Ciencia FiccióN-Cyberpunk-Drama-Horror-Misterio-"
"2132","Kenichi- El Discípulo mas Fuerte de la Historia",2178,"s-Romance-Vida Escolar-"
"2133","Marmoleado Romántico",2029,"s-Comedia-Recuentos De La Vida-Romance-Vida Escolar-"
"2134","Illegal Rare",2027,"s-Comedia-"
"2135","Itoshi no Karin",2026,"s-AccióN-Comedia-Romance- Magia-FantasíA-"
"2136","Nos vemos de nuevo",2025,"s-ApocalíPtico-Comedia-AccióN-Sobrenatural-"
"2137","BECK",2024,"s-Comedia-Romance-Vida Escolar-"
"2138","The Princess and The Three Beast! - Himegimi to Sanbiki no Kemono",2023,"s-Comedia-Drama-Romance-Yaoi Soft-"
"2139","Sayonara, Otokonoko",2022,"s-Comedia-Drama-Ecchi-Romance-Escolar-Shojo-Vida Cotidiana-"
"2140","Sakazuki-sanchi no gikyoudai",2020,"s-AccióN-Aventura-Ciencia FiccióN-Maduro-Magia-Tragedia-"
"2141","Ouji to Majo to Himegimi to",2019,"s-Romance-AccióN-"
"2142","GTO",2018,"s-Comedia-Josei-Romance-Shojo-"
"2143","JIDOKHAGE KKEUREOANGO JIDOKHAGE KISEUHAGO!",2018,"s-Drama-Maduro-Recuentos De La Vida-Yuri-"
"2144","Full Metal Alchemist",2017,"s-Maduro-Recuentos De La Vida-Romance-Yaoi-"
"2145","Saint Seiya The Lost Canvas: Gaiden",2012,"s-AccióN-Comedia-FantasíA-Shounen-"
"2146","Bring it On World!",2011,"s-Comedia-Drama-Romance-Escolar-Shounen-Deportes-Tragedia-"
"2147","Wagamama Honey",2011,"s-Comedia-Romance-Yaoi-"
"2148","Harem no Yuusha",2011,"s-Comedia-Romance-Shojo-Vida Cotidiana-"
"2149","Furry",2008,"s-Drama-HistóRico-Romance-Yaoi Soft-"
"2150","Sword Art Online Aincrad Night of Kirito",2006,"s-Comedia-Drama-Romance-Shojo-Sobrenatural-"
"2151","Blavet",2005,"s-Comedia-Romance-Vida Escolar-"
"2152","To Aru Kagaku no Accelerator",2004,"s-AccióN-Artes Marciales-Aventura-Militar-Magia-Supervivencia-"
"2153","Ore ga Doutei wo Sutetara...",2004,"s-Comedia-Drama-Magia-Misterio-Recuentos De La Vida-Romance-Shonen-Ai-Sobrenatural-Tragedia-Yaoi-"
"2154","The Tyrant that Falls in Love (yaoi)",2004,"s-Comedia-Romance-Drama-Vida Escolar-"
"2155","FAKE MARRIAGE TRUE LOVE",2004,"s-Ecchi-FantasíA-Harem-ReencarnacióN-Romance-"
"2156","Ouji to Hero",2003,"s-Comedia-FantasíA-Sobrenatural-Romance-"
"2157","Shikkaku Mon no Saikyou Kenja",2002,"s-AccióN-Aventura-FantasíA-"
"2158","roppongi black cross",2002,"s-Comedia-Ecchi-Romance-Vida Escolar-"
"2159","Kousoku Syndrome",4995,"s-Harem-Romance-Shojo-Vida Escolar-"
"2160","Migawari Hakushaku no Bouken",4992,"s-AccióN-Drama-Romance-"
"2161","Mishiro san to Yamada kun",4991,"s-Ecchi-Misterio-PsicolóGico-Romance-Escolar-Ciencia FiccióN-Shounen-"
"2162","Ai Yori Aoshi",4989,"s-AccióN-Aventura-Drama-FantasíA-Romance-Shojo-Tragedia-"
"2163","Yosuga no Sora",4987,"s-Comedia-Harem-Romance-"
"2164","Te wo Tsunagou yo",4981,"s-Recuentos De La Vida-Yaoi-"
"2165","Hozuki-san Chi no Aneki (+Imouto)",4976,"s-Maduro-Recuentos De La Vida-Romance-Vida Escolar-Yaoi-"
