"","TITULO","VISITAS","GENERO"
"147","Wotaku ni Koi wa Muzukashii",76771,"s-Comedia-Recuentos De La Vida-Romance-"
"148","Hiraheishi wa Kako wo Yumemiru",76279,"s-Comedia-Romance-Vida Escolar-Yaoi-"
"149","Tsubaki Chou Lonely Planet",76264,"s-Comedia-Harem-Romance-Escolar-Shounen-"
"150","My Cute Neighboor",75935,"s-Comedia-Ecchi-Harem-Romance- Escolar-Ciencia FiccióN-Shounen-Sobrenatural-"
"151","Hidoku Shinaide",75898,"s-Ecchi-AccióN-"
"152","Nisekoi",75544,"s-Drama-Shonen-Ai Yaoi Soft-Romance-"
"153","To Love-ru Darkness",75331,"s-Romance-Comedia-Vida Escolar-"
"154","A pervert's daily life",75130,"s-AccióN-Aventura-FantasíA-Magia-Romance-Shonen-"
"155","Entre el Amor y la Amistad",74687,"s-Drama-Horror-PsicolóGico-Seinen-"
"156","Chasing the Sun.",74521,"s-AccióN-Ciencia FiccióN-Comedia-Shonen-"
"157","Rain",74516,"s-AccióN-Aventura-Comedia-Drama-FantasíA-Shounen-Sobrenatural-"
"158","I am a hero",73394,"s-Drama-Romance-School Life-Shonen-"
"159","Fire Brigade of Flames",73099,"s-Comedia-Romance-Shonen-Ai-Yaoi-"
"160","Ao no Exorcist",71752,"s-Comedia-Ecchi-Harem-Recuentos De La Vida-Romance-Shonen-"
"161","Koi to Uso",70860,"s-Comedia-FantasíA-Recuentos De La Vida-Seinen-Shoujo-Ai-"
"162","Katekyo",70732,"s-AccióN-Aventura-FantasíA-"
"163","Pastel",70696,"s-Comedia-PsicolóGico-Romance-Escolar-Shojo-"
"164","Kobayashi-san Chi no Maid Dragon",70509,"s-AccióN-Aventura-Drama-Ecchi-Maduro-PsicolóGico-Romance-Ciencia FiccióN-Seinen-Tragedia-"
"165","Red Storm",69343,"s-Comedia-FantasíA-Romance-Shonen-"
"166","Ookami shoujo to kuro ouji",69051,"s-Deportes-Drama-Romance-Shonen-Vida Escolar-"
"167","Btooom!",69007,"s-AccióN-Aventura-Comedia-FantasíA-Harem-Magia-Realidad Virtual-Romance-Seinen-Sobrenatural-"
"168","hataraku maou-sama",68813,"s-Drama-Maduro-Misterio-Recuentos De La Vida-Romance-Sobrenatural-Yuri-"
"169","Baby Steps",68619,"s-Recuentos De La Vida-Romance-Shojo-Vida Escolar-"
"170","Overlord",68364,"s-AccióN-Ecchi-Horror-Misterio-PsicolóGico-Romance-Shonen-Suspense-Tragedia-Vida Escolar-"
"171","What Does The Fox Say?",67425,"s-Ciencia FiccióN-Comedia-Drama-Misterio-Romance-Shonen-Sobrenatural-"
"172","Boku ni Hana no Melancholy",67153,"s-Ciencia FiccióN-Comedia-Drama-FantasíA-Harem-Magia-Romance-Shonen-Sobrenatural-Vida Escolar-"
"173","Dead Tube",66478,"s-Comedia-Ecchi-Sobrenatural-Super Poderes-"
"174","Hero Waltz",66057,"s-Yaoi Soft-"
"175","Kyou No Cerberus",65597,"s-Aventura-Drama-Maduro-Romance-Yaoi-"
"176","I'm a Loser",65542,"s-AccióN-Comedia-Drama-Ecchi-FantasíA-Harem-Misterio-Romance-Shojo-Sobrenatural-"
"177","Blood Bank",65222,"s-AccióN-Horror-Maduro-Ciencia FiccióN-Seinen-Tragedia-"
"178","Yondaime Ooyamato Tatsuyuki",65128,"s-Comedia-Ecchi-Romance-Seinen-Vida Escolar-"
"179","My Mom the Sexy Idol",64887,"s-Yaoi-Sobrenatural-"
"180","Black Bird",64658,"s-AccióN-Aventura-Comedia-FantasíA-Harem-Romance-Seinen-"
"181","TERRA FORMARS",64464,"s-AccióN-Aventura-Comedia-FantasíA-Magia-Shonen-Sobrenatural-"
"182","Nana to Kaoru",64460,"s-AccióN-Aventura-Comedia-Drama-FantasíA-Harem-HistóRico-"
"183","Isekai Maou to Shoukan Shoujo Dorei Majutsu",39905,"s-AccióN-Aventura-Drama-Artes Marciales-ReencarnacióN-Romance-"
"184","Musuko ga Kawaikute Shikataganai Mazoku no Hahaoya",39885,"s-HistóRico-FantasíA-Romance-Comedia-Artes Marciales-"
"185","Royal Servant",39752,"s-AccióN-Comedia-Super Poderes-"
"186","Love So Life",39474,"s-Comedia-Ecchi-Romance-Vida Escolar-"
"187","Gosu",39467,"s-Comedia-Ecchi- Romance-"
"188","Soredemo Sekai wa Utsukushii",39286,"s-AccióN-Aventura-Comedia-FantasíA-Sobrenatural-Realidad Virtual-"
"189","Ares",38893,"s-Ecchi-Horror-Misterio-PsicolóGico-Seinen-Suspense-Tragedia- "
"190","Isekai Maou to Shoukan Shoujo no Dorei Majutsu",38467,"s-AccióN-Aventura-Comedia-Drama-FantasíA-Romance-Harem-"
"191","Kaichou wa Maid-sama",38423,"s-AccióN-Drama-Aventura-FantasíA-Recuentos De La Vida-Romance-"
"192","4 Cut Hero",38168,"s-Comedia-FantasíA-Ecchi-Ciencia FiccióN-"
"193","Karate Shoukoushi Kohinata Minoru",37917,"s-Ecchi-AccióN-"
"194","Sensei Kunshu",37807,"s-AccióN-Artes Marciales-FantasíA-Shonen-"
"195","Midnight Secretary",37670,"s-Shonen-Ai Yaoi Soft-"
"196","Aki Sora",37572,"s-Aventura-FantasíA-HistóRico-Artes Marciales-Romance-"
"197","Hunter x Hunter",37450,"s-Mecha-Romance-Militar-Ciencia FiccióN-Drama-AccióN-"
"198","Bokutachi wa Benkyou ga Dekinai",37325,"s-Drama-Maduro-PsicolóGico-Romance-Vida Cotidiana-Yaoi-"
"199","YATAMOMO",37004,"s-Drama-Vida Escolar-Romance-Comedia-"
"200","Unbalance x Unbalance",36679,"s-AccióN-Artes Marciales-FantasíA-Aventura-Super Poderes-"
"201","Suki Desu Suzuki-Kun",36470,"s-Comedia-Recuentos De La Vida-"
"202","Sekaiichi Hatsukoi <U+4E00>Onodera Ritsu no baai<U+4E00>",36441,"s-ReencarnacióN-FantasíA-"
"203","Konjiki no Word Master: Yuusha Yonin ni Makikomareta Unique Cheat",36374,"s-Comedia-Harem-Romance-Escolar-Shounen-"
"204","Inuyashiki",36337,"s-Comedia-PsicolóGico-Romance-Escolar-Shojo-"
"205","Ecstasy Hearts",36263,"s-Comedia-Drama-PsicolóGico-Romance-Shojo-Vida Cotidiana-"
"206","Ajin",36168,"s-AccióN-Comedia-Artes Marciales-Escolar-Shounen-Sobrenatural-"
"207","ROKUDOU NO ONNA-TACHI",36149,"s-Comedia-Drama-Ecchi-Romance-Shonen-Sobrenatural-"
"208","Trinity Seven: 7-Nin no Mahoutsukai",36094,"s-AccióN-Aventura-Comedia-Drama-FantasíA-Shounen-Sobrenatural-"
"209","Masamune-kun no Revenge",55550,"s-Drama-Ecchi-Maduro-"
"210","Ana Satsujin",55464,"s-Vida Escolar-Yaoi Soft-Comedia-Romance-"
"211","My First Time is with... My Little Sister?!",55417,"s-Comedia-Shonen- Vida Escolar-"
"212","Señas",55148,"s-Drama-Mystery-Shounen-"
"213","Gal Gohan",54995,"s-Comedia-FantasíA-Romance-Shojo-Sobrenatural-"
"214","Manuke na FPS Player ga Isekai e Ochita Baai",54839,"s-Aventura-Drama-Maduro-Romance-Yaoi-"
"215","H Mate",54327,"s-AccióN-Comedia-Escolar-Ciencia FiccióN-Shounen-"
"216","Tonikaku Kawaii",54222,"s-Comedia-Drama-Josei-Romance-"
"217","A Partir De Tres Puntos",54186,"s-Romance-Shojo-Vida Escolar-"
"218","Kekkon Yubiwa Monogatari",53844,"s-AccióN-Aventura-Drama-Ecchi-Maduro-PsicolóGico-Romance-Ciencia FiccióN-Seinen-Tragedia-"
"219","YONG HENG ZHI ZUN",53798,"s-AccióN-Comedia-Drama-Recuentos De La Vida-Romance-Yaoi-"
"220","Dolly Kill Kill",53791,"s-AccióN-Aventura-Ciencia FiccióN-Comedia-Drama-FantasíA-Magia-Realidad Virtual-Romance-Shonen-"
"221","Boy Concubine",53698,"s-Comedia-Drama-Josei-Romance-"
"222","Dungeon ni Deai o Motomer...",53603,"s-AccióN-Ecchi-Horror-Misterio-PsicolóGico-Romance-Shonen-Suspense-Tragedia-Vida Escolar-"
"223","Kaichou-sama ga Fiance de",53309,"s-Comedia-Deportes-Drama-Ecchi-Romance-Seinen-Vida Escolar-"
"224","Psychic Gambler: Betting Man",52939,"s-Comedia-Romance-Escolar-Shounen-Sobrenatural-"
"225","""ADONIS""",52933,"s-Comedia-Ecchi-Romance-Seinen-Vida Escolar-"
"226","3D Kanojo",52586,"s-PsicolóGico-Yaoi Soft-Drama-"
"227","Mahou Shoujo Site",52524,"s-Comedia-Drama-Recuentos De La Vida-Romance-Vida Escolar-Yaoi-"
"228","Dungeon ni Deai o Motomeru no wa Machigatte Iru Darou ka",52165,"s-Comedia-Romance-Escolar-Seinen-Vida Cotidiana-"
"229","Hanza Sky",52074,"s-AccióN-Aventura-ReencarnacióN-Romance-FantasíA-Magia-"
"230","Feng Kai Cang Lang",52026,"s-Yuri-Romance-Comedia-"
"231","Toaru Ossan no VRMMO Katsudouki",51756,"s-Yaoi-Romance-Vida Escolar-Recuentos De La Vida-Comedia-"
"232","Hapi Mari",51685,"s-Romance-Shonen-Sobrenatural-Vida Escolar-"
